"Production et recettes brutes du lait, selon le type de marché, Québec (15 août 2018)";"";"";"";"";"";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"03-2004";"k$";"11825,2";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"04-2004";"k$";"11898,1";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"05-2004";"k$";"11444,8";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"06-2004";"k$";"10629,5";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"07-2004";"k$";"10765,8";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"08-2004";"k$";"10380,2";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"09-2004";"k$";"10149,4";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"10-2004";"k$";"10814,9";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"11-2004";"k$";"10252,1";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"12-2004";"k$";"10924,9";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"01-2005";"k$";"11975,8";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"02-2005";"k$";"10700,3";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"03-2005";"k$";"11669,5";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"04-2005";"k$";"11913,3";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"05-2005";"k$";"11442";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"06-2005";"k$";"10956,6";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"07-2005";"k$";"11089,9";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"08-2005";"k$";"11125,5";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"09-2005";"k$";"10653,7";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"10-2005";"k$";"11015,3";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"11-2005";"k$";"10691,9";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"12-2005";"k$";"11396,6";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"01-2006";"k$";"12291,6";""
