"Production et recettes brutes du lait, selon le type de marché, Québec (15 août 2018)";"";"";"";"";"";"";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"01-2010";"hl";"2445797,6";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"02-2010";"hl";"2218178,02";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"03-2010";"hl";"2465001,19";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"04-2010";"hl";"2407669,73";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"05-2010";"hl";"2487463,6";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"06-2010";"hl";"2389725,33";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"07-2010";"hl";"2385121,45";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"08-2010";"hl";"2425102,49";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"09-2010";"hl";"2322745,88";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"10-2010";"hl";"2385872,8";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"11-2010";"hl";"2331236,22";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"12-2010";"hl";"2421893,02";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"01-2011";"hl";"2450663,72";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"02-2011";"hl";"2230846,63";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"03-2011";"hl";"2470315,97";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"04-2011";"hl";"2395557,06";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"05-2011";"hl";"2484747,45";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"06-2011";"hl";"2404906,23";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"07-2011";"hl";"2440540,76";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"08-2011";"hl";"2428867,44";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"09-2011";"hl";"2328211,13";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"10-2011";"hl";"2375529,58";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"11-2011";"hl";"2330779,85";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"12-2011";"hl";"2448983,32";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"01-2012";"hl";"2489871,45";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"02-2012";"hl";"2354191,21";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"03-2012";"hl";"2517843,75";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"04-2012";"hl";"2441912,27";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"05-2012";"hl";"2516418,63";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"06-2012";"hl";"2410535,64";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"07-2012";"hl";"2460962,73";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"08-2012";"hl";"2461686,56";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"09-2012";"hl";"2386423,62";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"10-2012";"hl";"2469916,32";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"11-2012";"hl";"2424677,6";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"12-2012";"hl";"2525303,82";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"01-2013";"hl";"2537858,85";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"02-2013";"hl";"2295716,86";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"03-2013";"hl";"2538632,58";""
