"Production et recettes brutes du lait, selon le type de marché, Québec (15 août 2018)";"";"";"";"";"";"";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"03-2010";"kg";"9953534";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"04-2010";"kg";"9688612";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"05-2010";"kg";"9983102";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"06-2010";"kg";"9475437";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"07-2010";"kg";"9371988";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"08-2010";"kg";"9575779";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"09-2010";"kg";"9276886";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"10-2010";"kg";"9749216";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"11-2010";"kg";"9554643";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"12-2010";"kg";"9910417";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"01-2011";"kg";"10046064";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"02-2011";"kg";"9172160";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"03-2011";"kg";"10163804";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"04-2011";"kg";"9800005";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"05-2011";"kg";"10116617";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"06-2011";"kg";"9673475";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"07-2011";"kg";"9670841";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"08-2011";"kg";"9619439";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"09-2011";"kg";"9424216";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"10-2011";"kg";"9743095";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"11-2011";"kg";"9582384";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"12-2011";"kg";"10090991";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"01-2012";"kg";"10280315";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"02-2012";"kg";"9645115";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"03-2012";"kg";"10312188";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"04-2012";"kg";"9975420";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"05-2012";"kg";"10218589";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"06-2012";"kg";"9701947";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"07-2012";"kg";"9748627";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"08-2012";"kg";"9740593";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"09-2012";"kg";"9666050";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"10-2012";"kg";"10159849";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"11-2012";"kg";"10018155";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"12-2012";"kg";"10470832";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"01-2013";"kg";"10502045";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"02-2013";"kg";"9499189";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"03-2013";"kg";"10475903";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"04-2013";"kg";"10071125";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"05-2013";"kg";"10303036";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"06-2013";"kg";"9741653";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"07-2013";"kg";"9732740";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"08-2013";"kg";"9854698";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"09-2013";"kg";"9722623";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"10-2013";"kg";"10115523";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"11-2013";"kg";"9903854";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"12-2013";"kg";"10164668";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"01-2014";"kg";"10232644";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"02-2014";"kg";"9248891";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"03-2014";"kg";"10252232";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"04-2014";"kg";"9880950";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"05-2014";"kg";"10127526";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"06-2014";"kg";"9669805";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"07-2014";"kg";"9845464";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"08-2014";"kg";"9978778";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"09-2014";"kg";"9814419";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"10-2014";"kg";"10208359";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"11-2014";"kg";"9986927";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"12-2014";"kg";"10382753";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"01-2015";"kg";"10453911";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"02-2015";"kg";"9515514";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"03-2015";"kg";"10664227";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"04-2015";"kg";"10399633";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"05-2015";"kg";"10771286";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"06-2015";"kg";"10362787";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"07-2015";"kg";"10487399";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"08-2015";"kg";"10228357";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"09-2015";"kg";"9918548";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"10-2015";"kg";"10430033";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"11-2015";"kg";"10246793";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"12-2015";"kg";"10729688";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"01-2016";"kg";"10916351";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"02-2016";"kg";"10338997";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"03-2016";"kg";"11055865";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"04-2016";"kg";"10704301";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"05-2016";"kg";"10954523";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"06-2016";"kg";"10345227";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"07-2016";"kg";"10415770";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"08-2016";"kg";"10433015";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"09-2016";"kg";"10313686";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"10-2016";"kg";"10931682";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"11-2016";"kg";"10788564";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"12-2016";"kg";"11370513";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"01-2017";"kg";"11607815";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"02-2017";"kg";"10623197";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"03-2017";"kg";"11855035";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"04-2017";"kg";"11438761";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"05-2017";"kg";"11735894";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"06-2017";"kg";"11094446";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"07-2017";"kg";"11258581";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"08-2017";"kg";"11299139";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"09-2017";"kg";"11066760";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"10-2017";"kg";"11495082";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"11-2017";"kg";"11342630";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"12-2017";"kg";"11898831";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"01-2018";"kg";"12077574";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"02-2018";"kg";"11084562";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"03-2018";"kg";"12379676";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"04-2018";"kg";"11980116";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"05-2018";"kg";"12222525";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"06-2018";"kg";"11642126";""
"Production laitière ";"Total (Type de production ou marché)";"Matière grasse";"Québec";"07-2018";"kg";"11410171";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"01-1999";"kg/hl";"3,9592";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"02-1999";"kg/hl";"3,9576";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"03-1999";"kg/hl";"3,9599";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"04-1999";"kg/hl";"3,9307";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"05-1999";"kg/hl";"3,8969";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"06-1999";"kg/hl";"3,8498";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"07-1999";"kg/hl";"3,7516";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"08-1999";"kg/hl";"3,7589";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"09-1999";"kg/hl";"3,7988";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"10-1999";"kg/hl";"3,9455";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"11-1999";"kg/hl";"3,971";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"12-1999";"kg/hl";"3,9665";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"01-2000";"kg/hl";"3,9994";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"02-2000";"kg/hl";"4,0052";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"03-2000";"kg/hl";"3,9786";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"04-2000";"kg/hl";"3,9655";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"05-2000";"kg/hl";"3,9317";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"06-2000";"kg/hl";"3,909";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"07-2000";"kg/hl";"3,8227";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"08-2000";"kg/hl";"3,777";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"09-2000";"kg/hl";"3,8863";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"10-2000";"kg/hl";"4,0019";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"11-2000";"kg/hl";"3,9954";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"12-2000";"kg/hl";"4,0083";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"01-2001";"kg/hl";"4,014";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"02-2001";"kg/hl";"4,0364";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"03-2001";"kg/hl";"4,0181";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"04-2001";"kg/hl";"4,0113";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"05-2001";"kg/hl";"3,9415";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"06-2001";"kg/hl";"3,8982";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"07-2001";"kg/hl";"3,836";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"08-2001";"kg/hl";"3,7805";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"09-2001";"kg/hl";"3,8835";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"10-2001";"kg/hl";"3,9726";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"11-2001";"kg/hl";"3,9929";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"12-2001";"kg/hl";"3,9743";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"01-2002";"kg/hl";"3,9841";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"02-2002";"kg/hl";"4,008";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"03-2002";"kg/hl";"4,0066";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"04-2002";"kg/hl";"3,9947";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"05-2002";"kg/hl";"3,9664";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"06-2002";"kg/hl";"3,9272";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"07-2002";"kg/hl";"3,8243";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"08-2002";"kg/hl";"3,7905";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"09-2002";"kg/hl";"3,865";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"10-2002";"kg/hl";"3,9777";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"11-2002";"kg/hl";"3,9955";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"12-2002";"kg/hl";"3,9931";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"01-2003";"kg/hl";"3,9819";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"02-2003";"kg/hl";"4,0013";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"03-2003";"kg/hl";"4,0021";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"04-2003";"kg/hl";"3,9778";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"05-2003";"kg/hl";"3,9383";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"06-2003";"kg/hl";"3,8959";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"07-2003";"kg/hl";"3,817";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"08-2003";"kg/hl";"3,8091";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"09-2003";"kg/hl";"3,874";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"10-2003";"kg/hl";"3,9758";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"11-2003";"kg/hl";"3,9832";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"12-2003";"kg/hl";"3,9824";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"01-2004";"kg/hl";"3,9785";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"02-2004";"kg/hl";"3,9889";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"03-2004";"kg/hl";"3,9766";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"04-2004";"kg/hl";"3,9545";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"05-2004";"kg/hl";"3,9234";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"06-2004";"kg/hl";"3,9009";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"07-2004";"kg/hl";"3,8477";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"08-2004";"kg/hl";"3,851";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"09-2004";"kg/hl";"3,9202";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"10-2004";"kg/hl";"3,9888";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"11-2004";"kg/hl";"4,0362";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"12-2004";"kg/hl";"4,0205";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"01-2005";"kg/hl";"4,0128";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"02-2005";"kg/hl";"4,0037";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"03-2005";"kg/hl";"4,0278";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"04-2005";"kg/hl";"3,9803";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"05-2005";"kg/hl";"3,955";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"06-2005";"kg/hl";"3,9315";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"07-2005";"kg/hl";"3,8168";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"08-2005";"kg/hl";"3,8286";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"09-2005";"kg/hl";"3,9119";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"10-2005";"kg/hl";"3,9945";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"11-2005";"kg/hl";"4,0211";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"12-2005";"kg/hl";"4,0159";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"01-2006";"kg/hl";"4,0132";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"02-2006";"kg/hl";"4,0053";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"03-2006";"kg/hl";"4,0188";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"04-2006";"kg/hl";"3,9996";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"05-2006";"kg/hl";"3,9666";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"06-2006";"kg/hl";"3,919";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"07-2006";"kg/hl";"3,8267";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"08-2006";"kg/hl";"3,8466";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"09-2006";"kg/hl";"3,9501";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"10-2006";"kg/hl";"4,01";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"11-2006";"kg/hl";"4,0133";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"12-2006";"kg/hl";"4,0041";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"01-2007";"kg/hl";"3,9933";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"02-2007";"kg/hl";"4,0373";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"03-2007";"kg/hl";"4,0365";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"04-2007";"kg/hl";"4,0011";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"05-2007";"kg/hl";"3,9464";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"06-2007";"kg/hl";"3,9353";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"07-2007";"kg/hl";"3,8832";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"08-2007";"kg/hl";"3,8577";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"09-2007";"kg/hl";"3,9596";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"10-2007";"kg/hl";"4,0091";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"11-2007";"kg/hl";"4,0518";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"12-2007";"kg/hl";"4,0715";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"01-2008";"kg/hl";"4,0461";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"02-2008";"kg/hl";"4,0548";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"03-2008";"kg/hl";"4,0625";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"04-2008";"kg/hl";"4,042";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"05-2008";"kg/hl";"4,0255";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"06-2008";"kg/hl";"3,9712";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"07-2008";"kg/hl";"3,9183";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"08-2008";"kg/hl";"3,9247";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"09-2008";"kg/hl";"3,9822";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"10-2008";"kg/hl";"4,0444";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"11-2008";"kg/hl";"4,0685";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"12-2008";"kg/hl";"4,0624";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"01-2009";"kg/hl";"4,0811";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"02-2009";"kg/hl";"4,0733";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"03-2009";"kg/hl";"4,0679";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"04-2009";"kg/hl";"4,0416";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"05-2009";"kg/hl";"4,0254";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"06-2009";"kg/hl";"3,9891";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"07-2009";"kg/hl";"3,9515";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"08-2009";"kg/hl";"3,9402";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"09-2009";"kg/hl";"4,0116";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"10-2009";"kg/hl";"4,0827";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"11-2009";"kg/hl";"4,0617";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"12-2009";"kg/hl";"4,057";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"01-2010";"kg/hl";"4,0428";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"02-2010";"kg/hl";"4,0459";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"03-2010";"kg/hl";"4,0379";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"04-2010";"kg/hl";"4,0241";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"05-2010";"kg/hl";"4,0134";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"06-2010";"kg/hl";"3,9651";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"07-2010";"kg/hl";"3,9294";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"08-2010";"kg/hl";"3,9486";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"09-2010";"kg/hl";"3,9939";""
"Production laitière ";"Total (Type de production ou marché)";"..Teneur en matière grasse";"Québec";"10-2010";"kg/hl";"4,0862";""
