"Production et recettes brutes du lait, selon le type de marché, Québec (15 août 2018)";"";"";"";"";"";"";"";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"07-2002";"$/hl";"61,366";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"08-2002";"$/hl";"62,0009";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"09-2002";"$/hl";"61,3346";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"10-2002";"$/hl";"62,9561";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"11-2002";"$/hl";"62,3163";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"12-2002";"$/hl";"62,6895";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"01-2003";"$/hl";"60,7627";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"02-2003";"$/hl";"65,0076";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"03-2003";"$/hl";"64,4184";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"04-2003";"$/hl";"64,9914";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"05-2003";"$/hl";"63,8471";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"06-2003";"$/hl";"64,19";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"07-2003";"$/hl";"60,3742";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"08-2003";"$/hl";"61,7083";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"09-2003";"$/hl";"65,9908";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"10-2003";"$/hl";"63,9882";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"11-2003";"$/hl";"63,7188";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"12-2003";"$/hl";"64,6729";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"01-2004";"$/hl";"62,4573";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"02-2004";"$/hl";"63,1071";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"03-2004";"$/hl";"62,5702";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"04-2004";"$/hl";"64,464";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"05-2004";"$/hl";"63,0506";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"06-2004";"$/hl";"67,4495";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"07-2004";"$/hl";"61,8565";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"08-2004";"$/hl";"66,465";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"09-2004";"$/hl";"65,9771";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"10-2004";"$/hl";"67,5305";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"11-2004";"$/hl";"68,2454";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"12-2004";"$/hl";"66,8011";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"01-2005";"$/hl";"66,0514";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"02-2005";"$/hl";"71,6174";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"03-2005";"$/hl";"70,0921";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"04-2005";"$/hl";"67,1673";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"05-2005";"$/hl";"67,1686";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"06-2005";"$/hl";"69,6653";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"07-2005";"$/hl";"67,8879";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"08-2005";"$/hl";"69,3625";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"09-2005";"$/hl";"70,4787";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"10-2005";"$/hl";"70,5267";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"11-2005";"$/hl";"73,9643";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"12-2005";"$/hl";"69,9859";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"01-2006";"$/hl";"69,4202";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"02-2006";"$/hl";"72,4363";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"03-2006";"$/hl";"72,4701";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"04-2006";"$/hl";"69,545";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"05-2006";"$/hl";"70,1277";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"06-2006";"$/hl";"69,6987";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"07-2006";"$/hl";"65,8235";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"08-2006";"$/hl";"69,6909";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"09-2006";"$/hl";"71,6221";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"10-2006";"$/hl";"72,5355";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"11-2006";"$/hl";"72,649";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"12-2006";"$/hl";"72,6836";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"01-2007";"$/hl";"71,7114";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"02-2007";"$/hl";"73,8778";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"03-2007";"$/hl";"73,5577";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"04-2007";"$/hl";"74,5467";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"05-2007";"$/hl";"72,4101";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"06-2007";"$/hl";"72,6566";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"07-2007";"$/hl";"70,6429";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"08-2007";"$/hl";"73,7121";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"09-2007";"$/hl";"76,5311";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"10-2007";"$/hl";"76,2045";""
