"Production et recettes brutes du lait, selon le type de marché, Québec (15 août 2018)";"";"";"";"";"";"";"";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"02-2006";"$/hl";"67,3149";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"03-2006";"$/hl";"67,4163";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"04-2006";"$/hl";"64,4431";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"05-2006";"$/hl";"65,3103";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"06-2006";"$/hl";"64,9596";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"07-2006";"$/hl";"60,9524";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"08-2006";"$/hl";"64,9058";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"09-2006";"$/hl";"66,7206";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"10-2006";"$/hl";"67,6074";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"11-2006";"$/hl";"67,7591";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"12-2006";"$/hl";"67,8467";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"01-2007";"$/hl";"66,4941";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"02-2007";"$/hl";"68,6009";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"03-2007";"$/hl";"68,4807";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"04-2007";"$/hl";"69,3839";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"05-2007";"$/hl";"67,5289";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"06-2007";"$/hl";"67,8566";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"07-2007";"$/hl";"65,8655";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"08-2007";"$/hl";"68,9282";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"09-2007";"$/hl";"71,6381";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"10-2007";"$/hl";"71,3106";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"11-2007";"$/hl";"72,1562";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"12-2007";"$/hl";"70,2329";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"01-2008";"$/hl";"67,2173";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"02-2008";"$/hl";"69,845";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"03-2008";"$/hl";"67,1224";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"04-2008";"$/hl";"71,0105";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"05-2008";"$/hl";"69,0069";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"06-2008";"$/hl";"70,3375";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"07-2008";"$/hl";"66,8033";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"08-2008";"$/hl";"70,7369";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"09-2008";"$/hl";"72,9467";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"10-2008";"$/hl";"71,5001";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"11-2008";"$/hl";"72,5063";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"12-2008";"$/hl";"70,6536";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"01-2009";"$/hl";"71,976";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"02-2009";"$/hl";"70,4337";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"03-2009";"$/hl";"71,4266";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"04-2009";"$/hl";"71,0733";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"05-2009";"$/hl";"70,557";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"06-2009";"$/hl";"71,9361";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"07-2009";"$/hl";"69,3697";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"08-2009";"$/hl";"70,2082";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"09-2009";"$/hl";"69,796";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"10-2009";"$/hl";"69,4165";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"11-2009";"$/hl";"70,7627";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"12-2009";"$/hl";"73,8448";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"01-2010";"$/hl";"70,4994";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"02-2010";"$/hl";"73,3765";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"03-2010";"$/hl";"69,0097";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"04-2010";"$/hl";"72,9695";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"05-2010";"$/hl";"71,359";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"06-2010";"$/hl";"69,914";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"07-2010";"$/hl";"71,4532";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"08-2010";"$/hl";"68,6843";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"09-2010";"$/hl";"70,9895";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"10-2010";"$/hl";"74,9177";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"11-2010";"$/hl";"72,4633";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"12-2010";"$/hl";"74,3955";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"01-2011";"$/hl";"71,1219";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"02-2011";"$/hl";"76,0522";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"03-2011";"$/hl";"75,674";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"04-2011";"$/hl";"73,3119";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"05-2011";"$/hl";"73,7946";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"06-2011";"$/hl";"73,7324";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"07-2011";"$/hl";"69,9853";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"08-2011";"$/hl";"72,1062";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"09-2011";"$/hl";"76,102";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"10-2011";"$/hl";"76,0287";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"11-2011";"$/hl";"78,3866";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"12-2011";"$/hl";"75,9855";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"01-2012";"$/hl";"75,5409";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"02-2012";"$/hl";"76,9422";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"03-2012";"$/hl";"73,1026";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"04-2012";"$/hl";"67,9066";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"05-2012";"$/hl";"74,3781";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"06-2012";"$/hl";"72,23";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"07-2012";"$/hl";"71,3123";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"08-2012";"$/hl";"71,5621";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"09-2012";"$/hl";"74,1461";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"10-2012";"$/hl";"72,8522";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"11-2012";"$/hl";"75,7065";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"12-2012";"$/hl";"76,9497";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"01-2013";"$/hl";"72,122";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"02-2013";"$/hl";"77,3329";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"03-2013";"$/hl";"73,4056";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"04-2013";"$/hl";"71,0167";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"05-2013";"$/hl";"73,9042";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"06-2013";"$/hl";"74,889";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"07-2013";"$/hl";"74,743";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"08-2013";"$/hl";"74,5359";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"09-2013";"$/hl";"72,1823";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"10-2013";"$/hl";"76,6557";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"11-2013";"$/hl";"78,0598";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"12-2013";"$/hl";"76,9557";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"01-2014";"$/hl";"75,3616";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"02-2014";"$/hl";"77,0063";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"03-2014";"$/hl";"79,2572";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"04-2014";"$/hl";"78,9892";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"05-2014";"$/hl";"77,8121";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"06-2014";"$/hl";"78,5525";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"07-2014";"$/hl";"76,1756";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"08-2014";"$/hl";"76,0548";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"09-2014";"$/hl";"72,8541";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"10-2014";"$/hl";"78,0205";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"11-2014";"$/hl";"79,8835";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"12-2014";"$/hl";"77,9952";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"01-2015";"$/hl";"73,9531";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"02-2015";"$/hl";"75,0062";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"03-2015";"$/hl";"77,086";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"04-2015";"$/hl";"72,4667";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"05-2015";"$/hl";"71,6466";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"06-2015";"$/hl";"71,3965";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"07-2015";"$/hl";"67,7182";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"08-2015";"$/hl";"69,8288";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"09-2015";"$/hl";"72,2185";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"10-2015";"$/hl";"75,3974";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"11-2015";"$/hl";"76,8281";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"12-2015";"$/hl";"73,4257";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"01-2016";"$/hl";"69,9598";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"02-2016";"$/hl";"70,719";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"03-2016";"$/hl";"72,7021";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"04-2016";"$/hl";"72,3784";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"05-2016";"$/hl";"73,1347";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"06-2016";"$/hl";"72,7088";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"07-2016";"$/hl";"67,8706";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"08-2016";"$/hl";"73,2829";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"09-2016";"$/hl";"73,0973";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"10-2016";"$/hl";"74,9908";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"11-2016";"$/hl";"76,3824";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"12-2016";"$/hl";"77,0749";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"01-2017";"$/hl";"71,1596";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"02-2017";"$/hl";"72,9054";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"03-2017";"$/hl";"72,6234";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"04-2017";"$/hl";"69,258";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"05-2017";"$/hl";"72,5426";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"06-2017";"$/hl";"72,9262";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"07-2017";"$/hl";"71,0826";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"08-2017";"$/hl";"73,8848";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"09-2017";"$/hl";"72,1875";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"10-2017";"$/hl";"73,6464";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"11-2017";"$/hl";"73,7792";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"12-2017";"$/hl";"72,4171";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"01-2018";"$/hl";"70,9915";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"02-2018";"$/hl";"71,0631";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"03-2018";"$/hl";"69,2891";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"04-2018";"$/hl";"66,4173";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"05-2018";"$/hl";"69,1255";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"06-2018";"$/hl";"67,6529";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant net";"Québec";"07-2018";"$/hl";"68,2079";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Matière grasse";"..Montant brut";"Québec";"01-1999";"$/kg";"5,2842";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Matière grasse";"..Montant brut";"Québec";"02-1999";"$/kg";"5,3821";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Matière grasse";"..Montant brut";"Québec";"03-1999";"$/kg";"5,3257";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Matière grasse";"..Montant brut";"Québec";"04-1999";"$/kg";"5,3001";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Matière grasse";"..Montant brut";"Québec";"05-1999";"$/kg";"5,1017";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Matière grasse";"..Montant brut";"Québec";"06-1999";"$/kg";"5,1759";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Matière grasse";"..Montant brut";"Québec";"07-1999";"$/kg";"5,0763";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Matière grasse";"..Montant brut";"Québec";"08-1999";"$/kg";"5,344";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Matière grasse";"..Montant brut";"Québec";"09-1999";"$/kg";"5,202";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Matière grasse";"..Montant brut";"Québec";"10-1999";"$/kg";"5,3674";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Matière grasse";"..Montant brut";"Québec";"11-1999";"$/kg";"5,4255";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Matière grasse";"..Montant brut";"Québec";"12-1999";"$/kg";"5,3368";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Matière grasse";"..Montant brut";"Québec";"01-2000";"$/kg";"5,2494";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Matière grasse";"..Montant brut";"Québec";"02-2000";"$/kg";"5,41";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Matière grasse";"..Montant brut";"Québec";"03-2000";"$/kg";"5,5133";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Matière grasse";"..Montant brut";"Québec";"04-2000";"$/kg";"5,4994";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Matière grasse";"..Montant brut";"Québec";"05-2000";"$/kg";"5,4832";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Matière grasse";"..Montant brut";"Québec";"06-2000";"$/kg";"5,6081";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Matière grasse";"..Montant brut";"Québec";"07-2000";"$/kg";"5,3654";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Matière grasse";"..Montant brut";"Québec";"08-2000";"$/kg";"5,4928";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Matière grasse";"..Montant brut";"Québec";"09-2000";"$/kg";"5,5959";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Matière grasse";"..Montant brut";"Québec";"10-2000";"$/kg";"5,5193";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Matière grasse";"..Montant brut";"Québec";"11-2000";"$/kg";"5,5972";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Matière grasse";"..Montant brut";"Québec";"12-2000";"$/kg";"5,552";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Matière grasse";"..Montant brut";"Québec";"01-2001";"$/kg";"5,4936";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Matière grasse";"..Montant brut";"Québec";"02-2001";"$/kg";"5,7886";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Matière grasse";"..Montant brut";"Québec";"03-2001";"$/kg";"5,7573";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Matière grasse";"..Montant brut";"Québec";"04-2001";"$/kg";"5,8757";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Matière grasse";"..Montant brut";"Québec";"05-2001";"$/kg";"5,8289";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Matière grasse";"..Montant brut";"Québec";"06-2001";"$/kg";"5,4602";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Matière grasse";"..Montant brut";"Québec";"07-2001";"$/kg";"5,532";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Matière grasse";"..Montant brut";"Québec";"08-2001";"$/kg";"5,95";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Matière grasse";"..Montant brut";"Québec";"09-2001";"$/kg";"5,9384";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Matière grasse";"..Montant brut";"Québec";"10-2001";"$/kg";"5,8221";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Matière grasse";"..Montant brut";"Québec";"11-2001";"$/kg";"5,8383";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Matière grasse";"..Montant brut";"Québec";"12-2001";"$/kg";"5,6447";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Matière grasse";"..Montant brut";"Québec";"01-2002";"$/kg";"5,6458";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Matière grasse";"..Montant brut";"Québec";"02-2002";"$/kg";"5,8408";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Matière grasse";"..Montant brut";"Québec";"03-2002";"$/kg";"5,7216";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Matière grasse";"..Montant brut";"Québec";"04-2002";"$/kg";"5,8164";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Matière grasse";"..Montant brut";"Québec";"05-2002";"$/kg";"5,9382";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Matière grasse";"..Montant brut";"Québec";"06-2002";"$/kg";"6,0001";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Matière grasse";"..Montant brut";"Québec";"07-2002";"$/kg";"5,991";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Matière grasse";"..Montant brut";"Québec";"08-2002";"$/kg";"6,1502";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Matière grasse";"..Montant brut";"Québec";"09-2002";"$/kg";"5,9191";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Matière grasse";"..Montant brut";"Québec";"10-2002";"$/kg";"5,906";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Matière grasse";"..Montant brut";"Québec";"11-2002";"$/kg";"5,8463";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Matière grasse";"..Montant brut";"Québec";"12-2002";"$/kg";"5,9529";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Matière grasse";"..Montant brut";"Québec";"01-2003";"$/kg";"5,9866";""
