"Production et recettes brutes du lait, selon le type de marché, Québec (15 août 2018)";"";"";"";"";"";"";"";"";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Recettes en provenance du marché";"Québec";"12-2014";"k$";"205687,9";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Recettes en provenance du marché";"Québec";"01-2015";"k$";"198156,2";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Recettes en provenance du marché";"Québec";"02-2015";"k$";"182286,4";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Recettes en provenance du marché";"Québec";"03-2015";"k$";"208702,9";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Recettes en provenance du marché";"Québec";"04-2015";"k$";"194651,1";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Recettes en provenance du marché";"Québec";"05-2015";"k$";"200702,3";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Recettes en provenance du marché";"Québec";"06-2015";"k$";"192805,5";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Recettes en provenance du marché";"Québec";"07-2015";"k$";"187387,6";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Recettes en provenance du marché";"Québec";"08-2015";"k$";"189451,2";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Recettes en provenance du marché";"Québec";"09-2015";"k$";"188053,6";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Recettes en provenance du marché";"Québec";"10-2015";"k$";"200851,3";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Recettes en provenance du marché";"Québec";"11-2015";"k$";"199582,6";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Recettes en provenance du marché";"Québec";"12-2015";"k$";"201959,8";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Recettes en provenance du marché";"Québec";"01-2016";"k$";"197565,2";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Recettes en provenance du marché";"Québec";"02-2016";"k$";"188164,2";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Recettes en provenance du marché";"Québec";"03-2016";"k$";"206341,4";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Recettes en provenance du marché";"Québec";"04-2016";"k$";"199721";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Recettes en provenance du marché";"Québec";"05-2016";"k$";"207152,2";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Recettes en provenance du marché";"Québec";"06-2016";"k$";"197281,9";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Recettes en provenance du marché";"Québec";"07-2016";"k$";"187958,6";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Recettes en provenance du marché";"Québec";"08-2016";"k$";"202505,7";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Recettes en provenance du marché";"Québec";"09-2016";"k$";"196822,2";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Recettes en provenance du marché";"Québec";"10-2016";"k$";"209143,3";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Recettes en provenance du marché";"Québec";"11-2016";"k$";"208944,5";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Recettes en provenance du marché";"Québec";"12-2016";"k$";"221960,3";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Recettes en provenance du marché";"Québec";"01-2017";"k$";"211815,4";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Recettes en provenance du marché";"Québec";"02-2017";"k$";"198091,7";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Recettes en provenance du marché";"Québec";"03-2017";"k$";"219902,7";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Recettes en provenance du marché";"Québec";"04-2017";"k$";"203974,9";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Recettes en provenance du marché";"Québec";"05-2017";"k$";"216790,3";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Recettes en provenance du marché";"Québec";"06-2017";"k$";"209550,1";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Recettes en provenance du marché";"Québec";"07-2017";"k$";"209202,8";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Recettes en provenance du marché";"Québec";"08-2017";"k$";"218462,1";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Recettes en provenance du marché";"Québec";"09-2017";"k$";"206997,5";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Recettes en provenance du marché";"Québec";"10-2017";"k$";"218146,3";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Recettes en provenance du marché";"Québec";"11-2017";"k$";"212333,7";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Recettes en provenance du marché";"Québec";"12-2017";"k$";"218263,8";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Recettes en provenance du marché";"Québec";"01-2018";"k$";"219162,4";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Recettes en provenance du marché";"Québec";"02-2018";"k$";"201278,4";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Recettes en provenance du marché";"Québec";"03-2018";"k$";"220016,2";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Recettes en provenance du marché";"Québec";"04-2018";"k$";"204530,4";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Recettes en provenance du marché";"Québec";"05-2018";"k$";"217922,5";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Recettes en provenance du marché";"Québec";"06-2018";"k$";"204934,1";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Recettes en provenance du marché";"Québec";"07-2018";"k$";"206319,8";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"01-1999";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"02-1999";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"03-1999";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"04-1999";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"05-1999";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"06-1999";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"07-1999";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"08-1999";"k$";"1798,3";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"09-1999";"k$";"1868,9";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"10-1999";"k$";"1855,9";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"11-1999";"k$";"1829,9";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"12-1999";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"01-2000";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"02-2000";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"03-2000";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"04-2000";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"05-2000";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"06-2000";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"07-2000";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"08-2000";"k$";"1788,8";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"09-2000";"k$";"1783,7";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"10-2000";"k$";"1793,4";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"11-2000";"k$";"1801,4";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"12-2000";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"01-2001";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"02-2001";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"03-2001";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"04-2001";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"05-2001";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"06-2001";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"07-2001";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"08-2001";"k$";"1877,3";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"09-2001";"k$";"1875,6";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"10-2001";"k$";"1882,6";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"11-2001";"k$";"1880,2";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"12-2001";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"01-2002";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"02-2002";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"03-2002";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"04-2002";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"05-2002";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"06-2002";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"07-2002";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"08-2002";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"09-2002";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"10-2002";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"11-2002";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"12-2002";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"01-2003";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"02-2003";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"03-2003";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"04-2003";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"05-2003";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"06-2003";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"07-2003";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"08-2003";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"09-2003";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"10-2003";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"11-2003";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"12-2003";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"01-2004";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"02-2004";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"03-2004";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"04-2004";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"05-2004";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"06-2004";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"07-2004";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"08-2004";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"09-2004";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"10-2004";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"11-2004";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"12-2004";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"01-2005";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"02-2005";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"03-2005";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"04-2005";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"05-2005";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"06-2005";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"07-2005";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"08-2005";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"09-2005";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"10-2005";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"11-2005";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"12-2005";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"01-2006";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"02-2006";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"03-2006";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"04-2006";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"05-2006";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"06-2006";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"07-2006";"k$";"";"-"
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"08-2006";"k$";"1611,6";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"09-2006";"k$";"937,5";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"10-2006";"k$";"598,8";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"11-2006";"k$";"496";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"12-2006";"k$";"538,5";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"01-2007";"k$";"614,5";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"02-2007";"k$";"404,5";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"03-2007";"k$";"380,2";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"04-2007";"k$";"551,1";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"05-2007";"k$";"801,7";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"06-2007";"k$";"960,9";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"07-2007";"k$";"1121,6";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"08-2007";"k$";"1623";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"09-2007";"k$";"820,8";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"10-2007";"k$";"537,1";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"11-2007";"k$";"330,3";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"12-2007";"k$";"266,5";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"01-2008";"k$";"318,8";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"02-2008";"k$";"313,8";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"03-2008";"k$";"286,5";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"04-2008";"k$";"300,4";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"05-2008";"k$";"433,3";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"06-2008";"k$";"719,4";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"07-2008";"k$";"890,8";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"08-2008";"k$";"957,4";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"09-2008";"k$";"585,7";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"10-2008";"k$";"348,2";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"11-2008";"k$";"222,7";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"12-2008";"k$";"242,8";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"01-2009";"k$";"237,8";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"02-2009";"k$";"178";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"03-2009";"k$";"215,2";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"04-2009";"k$";"279,5";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"05-2009";"k$";"406,2";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"06-2009";"k$";"669";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"07-2009";"k$";"679,8";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"08-2009";"k$";"794,6";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"09-2009";"k$";"458,8";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Prime sur les solides non gras";"Québec";"10-2009";"k$";"265,1";""
