"Production et recettes brutes du lait, selon le type de marché, Québec (15 août 2018)";"";"";"";"";"";"";"";"";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"04-2002";"k$";"135609,9";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"05-2002";"k$";"137612,6";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"06-2002";"k$";"140443,3";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"07-2002";"k$";"133108";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"08-2002";"k$";"130348";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"09-2002";"k$";"126484,6";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"10-2002";"k$";"136086,4";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"11-2002";"k$";"134505,9";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"12-2002";"k$";"144954,5";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"01-2003";"k$";"145023,8";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"02-2003";"k$";"139020";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"03-2003";"k$";"154807,4";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"04-2003";"k$";"154835,8";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"05-2003";"k$";"160541,2";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"06-2003";"k$";"155583,1";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"07-2003";"k$";"146803,4";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"08-2003";"k$";"145226,5";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"09-2003";"k$";"150417,8";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"10-2003";"k$";"149699,7";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"11-2003";"k$";"145918,7";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"12-2003";"k$";"156610,1";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"01-2004";"k$";"153727,9";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"02-2004";"k$";"147016,2";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"03-2004";"k$";"157702,1";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"04-2004";"k$";"158404,3";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"05-2004";"k$";"160181";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"06-2004";"k$";"164451,9";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"07-2004";"k$";"150306";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"08-2004";"k$";"158465,2";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"09-2004";"k$";"151355,5";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"10-2004";"k$";"159132,5";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"11-2004";"k$";"156239,3";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"12-2004";"k$";"160906,1";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"01-2005";"k$";"162433,1";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"02-2005";"k$";"161010,2";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"03-2005";"k$";"174026,6";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"04-2005";"k$";"161948,7";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"05-2005";"k$";"168002,5";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"06-2005";"k$";"167824,5";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"07-2005";"k$";"163498,9";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"08-2005";"k$";"166534";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"09-2005";"k$";"161009,5";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"10-2005";"k$";"164862,9";""
"Recettes laitières ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Total (Provenance)";"Québec";"11-2005";"k$";"168182,4";""
